ANZSCO_Code,ANZSCO_Title,Technology_tool,,
232112,Landscape Architect,Data base user interface and query software,,
232311,Fashion Designer,Graphics or photo imaging software,,
232311,Fashion Designer,Document management software,,
232312,Industrial Designer,Graphics or photo imaging software,,
232312,Industrial Designer,Computer aided design CAD software,,
232312,Industrial Designer,"Simulation, design and modelling software",,
232312,Industrial Designer,Web platform development software,,
232312,Industrial Designer,Video creation and editing software,,
232312,Industrial Designer,Object oriented development software,,
232312,Industrial Designer,Enterprise resource planning ERP software,,
232411,Graphic Designer,Graphics or photo imaging software,,
232411,Graphic Designer,Social media and web publishing software,,
232411,Graphic Designer,Video creation and editing software,,
232411,Graphic Designer,Web platform development software,,
232411,Graphic Designer,Object oriented development software,,
232412,Illustrator,Graphics or photo imaging software,,
232412,Illustrator,Video creation and editing software,,
232412,Illustrator,Social media and web publishing software,,
232412,Illustrator,Web platform development software,,
232412,Illustrator,Object oriented development software,,
232412,Illustrator,Accounting software,,
232413,Multimedia Designer,Graphics or photo imaging software,,
232413,Multimedia Designer,Video creation and editing software,,
232413,Multimedia Designer,Social media and web publishing software,,
232413,Multimedia Designer,Object oriented development software,,
232413,Multimedia Designer,Web platform development software,,
232414,Web Designer,Web platform development software,,
232414,Web Designer,Graphics or photo imaging software,,
232414,Web Designer,Social media and web publishing software,,
232414,Web Designer,Web page creation and editing software,,
232414,Web Designer,Object oriented development software,,
232414,Web Designer,Data base user interface and query software,,
232414,Web Designer,Project management software,,
232414,Web Designer,Video creation and editing software,,
232414,Web Designer,Database management software,,
233111,Chemical Engineer,Enterprise resource planning ERP software,,
233111,Chemical Engineer,Industrial control software,,
233111,Chemical Engineer,Data base user interface and query software,,
233111,Chemical Engineer,Computer aided design CAD software,,
233111,Chemical Engineer,Project management software,,
233111,Chemical Engineer,"Simulation, design and modelling software",,
233112,Materials Engineer,Object oriented development software,,
233112,Materials Engineer,Enterprise resource planning ERP software,,
233112,Materials Engineer,Data base user interface and query software,,
233112,Materials Engineer,"Simulation, design and modelling software",,
233112,Materials Engineer,Computer aided design CAD software,,
233211,Civil Engineer,Computer aided design CAD software,,
233211,Civil Engineer,Project management software,,
233211,Civil Engineer,"Simulation, design and modelling software",,
233211,Civil Engineer,Enterprise resource planning ERP software,,
233211,Civil Engineer,Map creation software,,
233212,Geotechnical Engineer,"Simulation, design and modelling software",,
233212,Geotechnical Engineer,Computer aided design CAD software,,
233212,Geotechnical Engineer,Data base user interface and query software,,
233212,Geotechnical Engineer,GPS receivers,,
233212,Geotechnical Engineer,High capacity removable media drives,,
233212,Geotechnical Engineer,Project management software,,
233213,Quantity Surveyor,Project management software,,
233213,Quantity Surveyor,Enterprise resource planning ERP software,,
233213,Quantity Surveyor,Accounting software,,
233213,Quantity Surveyor,Data base reporting software,,
233213,Quantity Surveyor,Document management software,,
233213,Quantity Surveyor,Data base user interface and query software,,
233214,Structural Engineer,Computer aided design CAD software,,
233214,Structural Engineer,"Simulation, design and modelling software",,
233214,Structural Engineer,Enterprise resource planning ERP software,,
233214,Structural Engineer,Project management software,,
233214,Structural Engineer,Development environment software,,
233214,Structural Engineer,Business intelligence and data analysis software,,
233215,Transport Engineer,Computer aided design CAD software,,
233215,Transport Engineer,Map creation software,,
233215,Transport Engineer,Project management software,,
233511,Industrial Engineer,Object oriented development software,,
233511,Industrial Engineer,Computer aided design CAD software,,
233511,Industrial Engineer,Enterprise resource planning ERP software,,
233511,Industrial Engineer,Industrial control software,,
233511,Industrial Engineer,Data base user interface and query software,,
233511,Industrial Engineer,Project management software,,
233512,Mechanical Engineer,Computer aided design CAD software,,
233512,Mechanical Engineer,Enterprise resource planning ERP software,,
233512,Mechanical Engineer,Industrial control software,,
233512,Mechanical Engineer,Object oriented development software,,
233512,Mechanical Engineer,Project management software,,
233512,Mechanical Engineer,"Simulation, design and modelling software",,
233512,Mechanical Engineer,Data base user interface and query software,,
233513,Production or Plant Engineer,Development environment software,,
233513,Production or Plant Engineer,Object oriented development software,,
233513,Production or Plant Engineer,Computer aided design CAD software,,
233513,Production or Plant Engineer,Enterprise resource planning ERP software,,
233513,Production or Plant Engineer,Data base user interface and query software,,
233513,Production or Plant Engineer,Industrial control software,,
233513,Production or Plant Engineer,Database management software,,
233611,Mining Engineer (excluding Petroleum),Computer aided design CAD software,,
233611,Mining Engineer (excluding Petroleum),Project management software,,
233611,Mining Engineer (excluding Petroleum),Data base user interface and query software,,
233611,Mining Engineer (excluding Petroleum),"Simulation, design and modelling software",,
233611,Mining Engineer (excluding Petroleum),GPS receivers,,
233611,Mining Engineer (excluding Petroleum),High capacity removable media drives,,
233612,Petroleum Engineer,Enterprise resource planning ERP software,,
233612,Petroleum Engineer,Project management software,,
233612,Petroleum Engineer,Computer aided design CAD software,,
233612,Petroleum Engineer,Graphics or photo imaging software,,
233612,Petroleum Engineer,Data base user interface and query software,,
233911,Aeronautical Engineer,Computer aided design CAD software,,
233911,Aeronautical Engineer,Data base user interface and query software,,
233911,Aeronautical Engineer,"Simulation, design and modelling software",,
233911,Aeronautical Engineer,Configuration management software,,
233913,Biomedical Engineer,Object oriented development software,,
233913,Biomedical Engineer,Computer aided design CAD software,,
233913,Biomedical Engineer,"Simulation, design and modelling software",,
233913,Biomedical Engineer,Configuration management software,,
233913,Biomedical Engineer,Data base user interface and query software,,
233914,Engineering Technologist,Enterprise resource planning ERP software,,
233914,Engineering Technologist,Computer aided design CAD software,,
233914,Engineering Technologist,"Simulation, design and modelling software",,
233914,Engineering Technologist,Project management software,,
233914,Engineering Technologist,Object oriented development software,,
233915,Environmental Engineer,Computer aided design CAD software,,
233915,Environmental Engineer,Map creation software,,
233915,Environmental Engineer,Object oriented development software,,
233915,Environmental Engineer,Project management software,,
233915,Environmental Engineer,Data base user interface and query software,,
233915,Environmental Engineer,"Simulation, design and modelling software",,
233916,Naval Architect,Computer aided design CAD software,,
233916,Naval Architect,Project management software,,
233916,Naval Architect,Data base user interface and query software,,
234211,Chemist,Enterprise resource planning ERP software,,
234211,Chemist,"Simulation, design and modelling software",,
234211,Chemist,Development environment software,,
234211,Chemist,Enterprise application integration software,,
234211,Chemist,Graphics or photo imaging software,,
234211,Chemist,Data base user interface and query software,,
234212,Food Technologist,Enterprise resource planning ERP software,,
234212,Food Technologist,High pressure liquid chromatograph chromatography,,
234212,Food Technologist,Infrared spectrometers,,
234213,Wine Maker,Enterprise resource planning ERP software,,
234311,Conservation Officer,Map creation software,,
234311,Conservation Officer,"Simulation, design and modelling software",,
234311,Conservation Officer,Object oriented development software,,
234311,Conservation Officer,GPS receivers,,
234311,Conservation Officer,Data base user interface and query software,,
234312,Environmental Consultant,Document management software,,
234312,Environmental Consultant,Map creation software,,
234312,Environmental Consultant,Enterprise resource planning ERP software,,
234312,Environmental Consultant,Project management software,,
234312,Environmental Consultant,Data base user interface and query software,,
234313,Environmental Research Scientist,Document management software,,
234313,Environmental Research Scientist,Map creation software,,
234313,Environmental Research Scientist,Enterprise resource planning ERP software,,
234313,Environmental Research Scientist,Object oriented development software,,
234313,Environmental Research Scientist,Graphics or photo imaging software,,
234313,Environmental Research Scientist,Project management software,,
234314,Park Ranger,Document management software,,
234314,Park Ranger,GPS receivers,,
234314,Park Ranger,Map creation software,,
234511,Life Scientist (General),Object oriented development software,,
234511,Life Scientist (General),"Simulation, design and modelling software",,
234511,Life Scientist (General),DNA sequence analysers,,
234511,Life Scientist (General),GPS receivers,,
234511,Life Scientist (General),High pressure liquid chromatograph chromatography,,
234511,Life Scientist (General),Data base user interface and query software,,
234513,Biochemist,"Simulation, design and modelling software",,
234513,Biochemist,CT / CAT scanning equipment,,
234513,Biochemist,DNA sequence analysers,,
234513,Biochemist,Enterprise application integration software,,
234513,Biochemist,Enterprise resource planning ERP software,,
234513,Biochemist,Graphics or photo imaging software,,
234513,Biochemist,Infrared spectrometers,,
234513,Biochemist,Medical positron emission tomography PET units,,
234513,Biochemist,MRI scanning equipment,,
234513,Biochemist,Nuclear magnetic resonance NMR spectrometers,,
234514,Biotechnologist,"Simulation, design and modelling software",,
234514,Biotechnologist,Complementary DNA synthesis kits,,
234514,Biotechnologist,Computer aided design CAD software,,
234514,Biotechnologist,CT / CAT scanning equipment,,
234514,Biotechnologist,High pressure liquid chromatograph chromatography,,
234514,Biotechnologist,MRI scanning equipment,,
234514,Biotechnologist,Nuclear magnetic resonance NMR spectrometers,,
234514,Biotechnologist,Rapid amplification or complementary deoxyribonucleic acid ends RACE technology products,,
234514,Biotechnologist,Data base user interface and query software,,
234515,Botanist,Map creation software,,
234515,Botanist,Data base user interface and query software,,
234515,Botanist,"Simulation, design and modelling software",,
234515,Botanist,GPS receivers,,
234515,Botanist,Object oriented development software,,
234515,Botanist,Rapid amplification or complementary deoxyribonucleic acid ends RACE technology products,,
234517,Microbiologist,Enterprise resource planning ERP software,,
234517,Microbiologist,"Simulation, design and modelling software",,
234517,Microbiologist,DNA sequence analysers,,
234517,Microbiologist,High pressure liquid chromatograph chromatography,,
234517,Microbiologist,Infrared spectrometers,,
234517,Microbiologist,Data base user interface and query software,,
234518,Zoologist,Data base user interface and query software,,
234518,Zoologist,Map creation software,,
234518,Zoologist,Object oriented development software,,
234518,Zoologist,"Simulation, design and modelling software",,
234912,Metallurgist,Data base user interface and query software,,
234912,Metallurgist,Object oriented development software,,
234912,Metallurgist,Graphics or photo imaging software,,
234912,Metallurgist,Enterprise resource planning ERP software,,
234912,Metallurgist,"Simulation, design and modelling software",,
234913,Meteorologist,"Simulation, design and modelling software",,
234913,Meteorologist,Development environment software,,
234913,Meteorologist,Map creation software,,
234913,Meteorologist,Object oriented development software,,
234913,Meteorologist,Data base user interface and query software,,
234914,Physicist,Object oriented development software,,
234914,Physicist,Development environment software,,
234914,Physicist,"Simulation, design and modelling software",,
234914,Physicist,Data base user interface and query software,,
234914,Physicist,Computer aided design CAD software,,
234914,Physicist,Configuration management software,,
234914,Physicist,Database management software,,
234914,Physicist,Enterprise application integration software,,
242111,University Lecturer,Computer based training software,,
242111,University Lecturer,"Simulation, design and modelling software",,
242111,University Lecturer,Object oriented development software,,
242111,University Lecturer,Web platform development software,,
242111,University Lecturer,High capacity removable media drives,,
242112,University Tutor,"Simulation, design and modelling software",,
242112,University Tutor,Computer based training software,,
242112,University Tutor,High capacity removable media drives,,
249212,Dance Teacher (Private Tuition),Social media and web publishing software,,
249212,Dance Teacher (Private Tuition),Document management software,,
249212,Dance Teacher (Private Tuition),Graphics or photo imaging software,,
249212,Dance Teacher (Private Tuition),Web platform development software,,
249212,Dance Teacher (Private Tuition),Data base user interface and query software,,
249214,Music Teacher (Private Tuition),Document management software,,
249214,Music Teacher (Private Tuition),Graphics or photo imaging software,,
249214,Music Teacher (Private Tuition),Social media and web publishing software,,
249214,Music Teacher (Private Tuition),Web platform development software,,
249214,Music Teacher (Private Tuition),Data base user interface and query software,,
251211,Medical Diagnostic Radiographer,CT / CAT scanning equipment,,
251211,Medical Diagnostic Radiographer,Medical picture archiving computer systems PACS,,
251211,Medical Diagnostic Radiographer,"Patient management, diagnostic and medical imaging software",,
251211,Medical Diagnostic Radiographer,Medical x ray units for general diagnostic use,,
251211,Medical Diagnostic Radiographer,MRI scanning equipment,,
251212,Medical Radiation Therapist,CT / CAT scanning equipment,,
251212,Medical Radiation Therapist,"Patient management, diagnostic and medical imaging software",,
251212,Medical Radiation Therapist,MRI scanning equipment,,
251212,Medical Radiation Therapist,Radiation therapy equipment,,
251213,Nuclear Medicine Technologist,CT / CAT scanning equipment,,
251213,Nuclear Medicine Technologist,Medical picture archiving computer systems PACS,,
251213,Nuclear Medicine Technologist,Medical positron emission tomography PET units,,
251213,Nuclear Medicine Technologist,Medical single photon emission computed tomography SPECT units,,
251213,Nuclear Medicine Technologist,"Patient management, diagnostic and medical imaging software",,
251214,Sonographer,Medical picture archiving computer systems PACS,,
251214,Sonographer,"Patient management, diagnostic and medical imaging software",,
251214,Sonographer,Data base user interface and query software,,
251311,Environmental Health Officer,Data base user interface and query software,,
251311,Environmental Health Officer,Enterprise resource planning ERP software,,
251311,Environmental Health Officer,Project management software,,
251312,Occupational Health and Safety Adviser,Project management software,,
251312,Occupational Health and Safety Adviser,Enterprise resource planning ERP software,,
251312,Occupational Health and Safety Adviser,Data base user interface and query software,,
251411,Optometrist,Accounting software,,
251411,Optometrist,Data base user interface and query software,,
251511,Hospital Pharmacist,Blood pressure monitors,,
251511,Hospital Pharmacist,"Patient management, diagnostic and medical imaging software",,
251511,Hospital Pharmacist,Project management software,,
251511,Hospital Pharmacist,Data base user interface and query software,,
251513,Retail Pharmacist,Data base user interface and query software,,
251513,Retail Pharmacist,Project management software,,
251513,Retail Pharmacist,"Patient management, diagnostic and medical imaging software",,
251513,Retail Pharmacist,Blood pressure monitors,,
251911,Health Promotion Officer,Social media and web publishing software,,
251911,Health Promotion Officer,Customer relationship management CRM software,,
251911,Health Promotion Officer,Graphics or photo imaging software,,
251911,Health Promotion Officer,Data base user interface and query software,,
251912,Orthotist or Prosthetist,Accounting software,,
251912,Orthotist or Prosthetist,Computer aided design CAD software,,
251912,Orthotist or Prosthetist,"Patient management, diagnostic and medical imaging software",,
251912,Orthotist or Prosthetist,Data base user interface and query software,,
252211,Acupuncturist,Blood pressure monitors,,
252711,Audiologist,Auditory function screening units,,
252711,Audiologist,"Patient management, diagnostic and medical imaging software",,
252712,Speech Pathologist,Music or sound editing software,,
253111,General Practitioner,"Patient management, diagnostic and medical imaging software",,
253112,Resident Medical Officer,"Patient management, diagnostic and medical imaging software",,
253317,Intensive Care Specialist,Blood pressure monitors,,
253317,Intensive Care Specialist,CT / CAT scanning equipment,,
253317,Intensive Care Specialist,"Patient management, diagnostic and medical imaging software",,
253317,Intensive Care Specialist,GPS receivers,,
253317,Intensive Care Specialist,MRI scanning equipment,,
253317,Intensive Care Specialist,Voice recognition and response software,,
253318,Neurologist,CT / CAT scanning equipment,,
253318,Neurologist,MRI scanning equipment,,
253321,Paediatrician,"Patient management, diagnostic and medical imaging software",,
253321,Paediatrician,Data base user interface and query software,,
253324,Thoracic Medicine Specialist,Data base user interface and query software,,
253324,Thoracic Medicine Specialist,"Patient management, diagnostic and medical imaging software",,
253324,Thoracic Medicine Specialist,Non invasive bi level machines,,
253324,Thoracic Medicine Specialist,Non invasive continuous positive air pressure machines CPAP,,
253912,Emergency Medicine Specialist,"Patient management, diagnostic and medical imaging software",,
253913,Obstetrician and Gynaecologist,"Patient management, diagnostic and medical imaging software",,
253915,Pathologist,"Patient management, diagnostic and medical imaging software",,
253915,Pathologist,Rapid amplification or complementary deoxyribonucleic acid ends RACE technology products,,
253917,Diagnostic and Interventional Radiologist,CT / CAT scanning equipment,,
253917,Diagnostic and Interventional Radiologist,Medical positron emission tomography PET units,,
253917,Diagnostic and Interventional Radiologist,"Patient management, diagnostic and medical imaging software",,
253917,Diagnostic and Interventional Radiologist,MRI scanning equipment,,
253917,Diagnostic and Interventional Radiologist,Voice recognition and response software,,
254211,Nurse Educator,Data base user interface and query software,,
254211,Nurse Educator,Computer based training software,,
254211,Nurse Educator,Project management software,,
254211,Nurse Educator,"Patient management, diagnostic and medical imaging software",,
254211,Nurse Educator,Non invasive bi level machines,,
254211,Nurse Educator,Patient controlled analgesia infusion pumps,,
254211,Nurse Educator,Blood pressure monitors,,
254211,Nurse Educator,Non invasive continuous positive air pressure machines CPAP,,
254212,Nurse Researcher,"Patient management, diagnostic and medical imaging software",,
254212,Nurse Researcher,"Simulation, design and modelling software",,
254212,Nurse Researcher,Object oriented development software,,
254212,Nurse Researcher,Project management software,,
254212,Nurse Researcher,Blood pressure monitors,,
254212,Nurse Researcher,Non invasive bi level machines,,
254212,Nurse Researcher,Non invasive continuous positive air pressure machines CPAP,,
254212,Nurse Researcher,Patient controlled analgesia infusion pumps,,
254212,Nurse Researcher,Data base user interface and query software,,
254411,Nurse Practitioner,Project management software,,
254411,Nurse Practitioner,Blood pressure monitors,,
254411,Nurse Practitioner,"Patient management, diagnostic and medical imaging software",,
254411,Nurse Practitioner,Non invasive bi level machines,,
254411,Nurse Practitioner,Non invasive continuous positive air pressure machines CPAP,,
254411,Nurse Practitioner,Patient controlled analgesia infusion pumps,,
254411,Nurse Practitioner,Data base user interface and query software,,
254412,Registered Nurse (Aged Care),Data base user interface and query software,,
254412,Registered Nurse (Aged Care),"Patient management, diagnostic and medical imaging software",,
254412,Registered Nurse (Aged Care),Project management software,,
254412,Registered Nurse (Aged Care),Blood pressure monitors,,
254412,Registered Nurse (Aged Care),Non invasive bi level machines,,
254412,Registered Nurse (Aged Care),Non invasive continuous positive air pressure machines CPAP,,
254412,Registered Nurse (Aged Care),Patient controlled analgesia infusion pumps,,
254413,Registered Nurse (Child and Family Health),Data base user interface and query software,,
254413,Registered Nurse (Child and Family Health),"Patient management, diagnostic and medical imaging software",,
254413,Registered Nurse (Child and Family Health),Project management software,,
254413,Registered Nurse (Child and Family Health),Blood pressure monitors,,
254413,Registered Nurse (Child and Family Health),Non invasive bi level machines,,
254413,Registered Nurse (Child and Family Health),Non invasive continuous positive air pressure machines CPAP,,
254413,Registered Nurse (Child and Family Health),Patient controlled analgesia infusion pumps,,
254414,Registered Nurse (Community Health),Data base user interface and query software,,
254414,Registered Nurse (Community Health),"Patient management, diagnostic and medical imaging software",,
254414,Registered Nurse (Community Health),Project management software,,
254414,Registered Nurse (Community Health),Blood pressure monitors,,
254414,Registered Nurse (Community Health),Non invasive bi level machines,,
254414,Registered Nurse (Community Health),Non invasive continuous positive air pressure machines CPAP,,
254414,Registered Nurse (Community Health),Patient controlled analgesia infusion pumps,,
254415,Registered Nurse (Critical Care and Emergency),Data base user interface and query software,,
254415,Registered Nurse (Critical Care and Emergency),"Patient management, diagnostic and medical imaging software",,
254415,Registered Nurse (Critical Care and Emergency),Blood pressure monitors,,
254415,Registered Nurse (Critical Care and Emergency),Non invasive bi level machines,,
254415,Registered Nurse (Critical Care and Emergency),Non invasive continuous positive air pressure machines CPAP,,
254415,Registered Nurse (Critical Care and Emergency),Patient controlled analgesia infusion pumps,,
254415,Registered Nurse (Critical Care and Emergency),Project management software,,
254416,Registered Nurse (Developmental Disability),Data base user interface and query software,,
254416,Registered Nurse (Developmental Disability),"Patient management, diagnostic and medical imaging software",,
254416,Registered Nurse (Developmental Disability),Project management software,,
254416,Registered Nurse (Developmental Disability),Blood pressure monitors,,
254416,Registered Nurse (Developmental Disability),Non invasive bi level machines,,
254416,Registered Nurse (Developmental Disability),Non invasive continuous positive air pressure machines CPAP,,
254416,Registered Nurse (Developmental Disability),Patient controlled analgesia infusion pumps,,
254417,Registered Nurse (Disability and Rehabilitation),Data base user interface and query software,,
254417,Registered Nurse (Disability and Rehabilitation),"Patient management, diagnostic and medical imaging software",,
254417,Registered Nurse (Disability and Rehabilitation),Project management software,,
254417,Registered Nurse (Disability and Rehabilitation),Blood pressure monitors,,
254417,Registered Nurse (Disability and Rehabilitation),Non invasive bi level machines,,
254417,Registered Nurse (Disability and Rehabilitation),Non invasive continuous positive air pressure machines CPAP,,
254417,Registered Nurse (Disability and Rehabilitation),Patient controlled analgesia infusion pumps,,
254418,Registered Nurse (Medical),Data base user interface and query software,,
254418,Registered Nurse (Medical),"Patient management, diagnostic and medical imaging software",,
254418,Registered Nurse (Medical),Project management software,,
254418,Registered Nurse (Medical),Blood pressure monitors,,
254418,Registered Nurse (Medical),Non invasive bi level machines,,
254418,Registered Nurse (Medical),Non invasive continuous positive air pressure machines CPAP,,
254418,Registered Nurse (Medical),Patient controlled analgesia infusion pumps,,
254421,Registered Nurse (Medical Practice),Data base user interface and query software,,
254421,Registered Nurse (Medical Practice),"Patient management, diagnostic and medical imaging software",,
254421,Registered Nurse (Medical Practice),Project management software,,
254421,Registered Nurse (Medical Practice),Blood pressure monitors,,
254421,Registered Nurse (Medical Practice),Non invasive bi level machines,,
254421,Registered Nurse (Medical Practice),Non invasive continuous positive air pressure machines CPAP,,
254421,Registered Nurse (Medical Practice),Patient controlled analgesia infusion pumps,,
254422,Registered Nurse (Mental Health),"Patient management, diagnostic and medical imaging software",,
254422,Registered Nurse (Mental Health),Project management software,,
254422,Registered Nurse (Mental Health),Blood pressure monitors,,
254422,Registered Nurse (Mental Health),Non invasive bi level machines,,
254422,Registered Nurse (Mental Health),Non invasive continuous positive air pressure machines CPAP,,
254422,Registered Nurse (Mental Health),Patient controlled analgesia infusion pumps,,
254422,Registered Nurse (Mental Health),Data base user interface and query software,,
254423,Registered Nurse (Perioperative),Data base user interface and query software,,
254423,Registered Nurse (Perioperative),"Patient management, diagnostic and medical imaging software",,
254423,Registered Nurse (Perioperative),Project management software,,
254423,Registered Nurse (Perioperative),Blood pressure monitors,,
254423,Registered Nurse (Perioperative),Non invasive bi level machines,,
254423,Registered Nurse (Perioperative),Non invasive continuous positive air pressure machines CPAP,,
254423,Registered Nurse (Perioperative),Patient controlled analgesia infusion pumps,,
254424,Registered Nurse (Surgical),Data base user interface and query software,,
254424,Registered Nurse (Surgical),"Patient management, diagnostic and medical imaging software",,
254424,Registered Nurse (Surgical),Project management software,,
254424,Registered Nurse (Surgical),Blood pressure monitors,,
254424,Registered Nurse (Surgical),Non invasive bi level machines,,
254424,Registered Nurse (Surgical),Non invasive continuous positive air pressure machines CPAP,,
254424,Registered Nurse (Surgical),Patient controlled analgesia infusion pumps,,
254425,Registered Nurse (Paediatrics),Data base user interface and query software,,
254425,Registered Nurse (Paediatrics),"Patient management, diagnostic and medical imaging software",,
254425,Registered Nurse (Paediatrics),Project management software,,
254425,Registered Nurse (Paediatrics),Blood pressure monitors,,
254425,Registered Nurse (Paediatrics),Non invasive bi level machines,,
254425,Registered Nurse (Paediatrics),Non invasive continuous positive air pressure machines CPAP,,
254425,Registered Nurse (Paediatrics),Patient controlled analgesia infusion pumps,,
261211,Multimedia Specialist,Graphics or photo imaging software,,
261211,Multimedia Specialist,Video creation and editing software,,
261211,Multimedia Specialist,Social media and web publishing software,,
261211,Multimedia Specialist,Web platform development software,,
261211,Multimedia Specialist,Object oriented development software,,
261212,Web Developer,Web platform development software,,
261212,Web Developer,Object oriented development software,,
261212,Web Developer,Data base user interface and query software,,
261212,Web Developer,Graphics or photo imaging software,,
261212,Web Developer,File versioning software,,
261212,Web Developer,Development environment software,,
261212,Web Developer,Database management software,,
261212,Web Developer,Social media and web publishing software,,
261212,Web Developer,Web page creation and editing software,,
261311,Analyst Programmer,Object oriented development software,,
261311,Analyst Programmer,Data base user interface and query software,,
261311,Analyst Programmer,Web platform development software,,
261311,Analyst Programmer,Development environment software,,
261311,Analyst Programmer,Enterprise resource planning ERP software,,
261311,Analyst Programmer,Database management software,,
261311,Analyst Programmer,Financial analysis software,,
261311,Analyst Programmer,Project management software,,
261311,Analyst Programmer,Enterprise application integration software,,
261312,Developer Programmer,Web platform development software,,
261312,Developer Programmer,Object oriented development software,,
261312,Developer Programmer,Data base user interface and query software,,
261312,Developer Programmer,Development environment software,,
261312,Developer Programmer,Enterprise resource planning ERP software,,
261312,Developer Programmer,Database management software,,
261312,Developer Programmer,File versioning software,,
261312,Developer Programmer,Project management software,,
261312,Developer Programmer,Data base reporting software,,
261313,Software Engineer,Object oriented development software,,
261313,Software Engineer,Web platform development software,,
261313,Software Engineer,Data base user interface and query software,,
261313,Software Engineer,Development environment software,,
261313,Software Engineer,Enterprise resource planning ERP software,,
261313,Software Engineer,Data base reporting software,,
261313,Software Engineer,Customer relationship management CRM software,,
261313,Software Engineer,Database management software,,
261313,Software Engineer,Financial analysis software,,
261314,Software Tester,Data base user interface and query software,,
261314,Software Tester,Enterprise resource planning ERP software,,
261314,Software Tester,Program testing software,,
261314,Software Tester,Project management software,,
261314,Software Tester,Object oriented development software,,
261314,Software Tester,Content workflow software,,
261314,Software Tester,"Simulation, design and modelling software",,
261314,Software Tester,Data base reporting software,,
261314,Software Tester,Development environment software,,
261314,Software Tester,Web platform development software,,
262111,Database Administrator,Data base user interface and query software,,
262111,Database Administrator,Object oriented development software,,
262111,Database Administrator,Database management software,,
262111,Database Administrator,Enterprise resource planning ERP software,,
262111,Database Administrator,Development environment software,,
262111,Database Administrator,Data base reporting software,,
262111,Database Administrator,Business intelligence and data analysis software,,
262111,Database Administrator,Financial analysis software,,
262112,ICT Security Specialist,Development environment software,,
262112,ICT Security Specialist,Object oriented development software,,
262112,ICT Security Specialist,Database management software,,
262112,ICT Security Specialist,Transaction security and virus protection software,,
262112,ICT Security Specialist,Data base user interface and query software,,
262112,ICT Security Specialist,Enterprise resource planning ERP software,,
262112,ICT Security Specialist,Web platform development software,,
262112,ICT Security Specialist,Configuration management software,,
262112,ICT Security Specialist,Network security and virtual private network VPN software,,
262113,Systems Administrator,Development environment software,,
262113,Systems Administrator,Data base user interface and query software,,
262113,Systems Administrator,Configuration management software,,
262113,Systems Administrator,Enterprise resource planning ERP software,,
262113,Systems Administrator,Application server software,,
262113,Systems Administrator,Object oriented development software,,
262113,Systems Administrator,Data base reporting software,,
262113,Systems Administrator,Access software,,
263111,Computer Network and Systems Engineer,Development environment software,,
263111,Computer Network and Systems Engineer,Object oriented development software,,
263111,Computer Network and Systems Engineer,Web platform development software,,
263111,Computer Network and Systems Engineer,Data base user interface and query software,,
263111,Computer Network and Systems Engineer,Configuration management software,,
263111,Computer Network and Systems Engineer,Database management software,,
263111,Computer Network and Systems Engineer,Enterprise resource planning ERP software,,
263111,Computer Network and Systems Engineer,Application server software,,
263112,Network Administrator,Development environment software,,
263112,Network Administrator,Enterprise resource planning ERP software,,
263112,Network Administrator,Data base user interface and query software,,
263112,Network Administrator,Configuration management software,,
263112,Network Administrator,Project management software,,
263112,Network Administrator,Application server software,,
263112,Network Administrator,Data base reporting software,,
263112,Network Administrator,Object oriented development software,,
263113,Network Analyst,Development environment software,,
263113,Network Analyst,Object oriented development software,,
263113,Network Analyst,Web platform development software,,
263113,Network Analyst,Data base user interface and query software,,
263113,Network Analyst,Configuration management software,,
263113,Network Analyst,Enterprise resource planning ERP software,,
263113,Network Analyst,Network security and virtual private network VPN software,,
263211,ICT Quality Assurance Engineer,Enterprise resource planning ERP software,,
263211,ICT Quality Assurance Engineer,Data base reporting software,,
263211,ICT Quality Assurance Engineer,Object oriented development software,,
263211,ICT Quality Assurance Engineer,Data base user interface and query software,,
263211,ICT Quality Assurance Engineer,Development environment software,,
263211,ICT Quality Assurance Engineer,Financial analysis software,,
263212,ICT Support Engineer,Data base user interface and query software,,
263212,ICT Support Engineer,Development environment software,,
263212,ICT Support Engineer,Enterprise resource planning ERP software,,
263212,ICT Support Engineer,Object oriented development software,,
263212,ICT Support Engineer,Project management software,,
263212,ICT Support Engineer,Web platform development software,,
263212,ICT Support Engineer,Configuration management software,,
263213,ICT Systems Test Engineer,Data base user interface and query software,,
263213,ICT Systems Test Engineer,Program testing software,,
263213,ICT Systems Test Engineer,Enterprise resource planning ERP software,,
263213,ICT Systems Test Engineer,Object oriented development software,,
263213,ICT Systems Test Engineer,Project management software,,
263213,ICT Systems Test Engineer,Content workflow software,,
263213,ICT Systems Test Engineer,"Simulation, design and modelling software",,
263213,ICT Systems Test Engineer,Data base reporting software,,
263213,ICT Systems Test Engineer,Web platform development software,,
263213,ICT Systems Test Engineer,Enterprise application integration software,,
272111,Careers Counsellor,Data base user interface and query software,,
272111,Careers Counsellor,Data base reporting software,,
272111,Careers Counsellor,Customer relationship management CRM software,,
272111,Careers Counsellor,Enterprise resource planning ERP software,,
272112,Drug and Alcohol Counsellor,"Simulation, design and modelling software",,
272112,Drug and Alcohol Counsellor,Data base user interface and query software,,
272113,Family and Marriage Counsellor,Accounting software,,
272113,Family and Marriage Counsellor,Data base user interface and query software,,
272114,Rehabilitation Counsellor,GPS receivers,,
